key,front,id_type,id,title_claimed,method,strength,limit,gap,checked_at,api,title_verified,authors_verified,year_verified,doi_verified,venue_verified,status
geifman2019selectivenet,F2-cardinalidad-selectiva,arxiv,1901.09192,SelectiveNet: A Deep Neural Network with an Integrated Reject Option,Arquitectura con cabeza de selección entrenada de forma conjunta para una cobertura objetivo.,Optimiza predicción y rechazo a la vez y mejora la frontera riesgo-cobertura frente al umbral posterior.,Exige reentrenar; en teledetección agrícola obligaría a reentrenar cada miembro del ensamble.,No compara recortar cobertura por muestra contra recortar el espacio de etiquetas a igual cobertura.,2026-09-02T20:32:12+00:00,arxiv,SelectiveNet: A Deep Neural Network with an Integrated Reject Option,Yonatan Geifman; Ran El-Yaniv,2019,,arXiv,OK
liu2019deepgamblers,F2-cardinalidad-selectiva,arxiv,1907.00208,Deep Gamblers: Learning to Abstain with Portfolio Theory,Clase de abstención adicional entrenada con una pérdida derivada de la teoría de carteras.,Abstención sin hiperparámetro explícito de cobertura y con interpretación económica del riesgo.,"Abstención por muestra; la clase extra compite con las clases raras, justo las críticas en cultivos.",No dice nada sobre cuántas clases prometer cuando el soporte por clase es muy desigual.,2026-09-02T20:32:14+00:00,arxiv,Deep Gamblers: Learning to Abstain with Portfolio Theory,Liu Ziyin; Zhikang Wang; Paul Pu Liang; Ruslan Salakhutdinov; Louis-Philippe Morency; Masahito Ueda,2019,,arXiv,OK
pugnana2022aucselective,F2-cardinalidad-selectiva,arxiv,2210.10703,AUC-based Selective Classification,Criterio de selección que optimiza el área bajo la curva en lugar de la exactitud bajo cobertura.,"Muestra que la métrica objetivo cambia la frontera de selección, algo decisivo cuando importa la clase rara.",Escenario binario y tabular; no aborda F1-macro multiclase ni el desbalance extremo del mapeo de cultivos.,"Falta el equivalente multiclase con F1-macro, que es la métrica que gobierna este dominio.",2026-09-02T20:32:16+00:00,arxiv,AUC-based Selective Classification,Andrea Pugnana; Salvatore Ruggieri,2022,,arXiv,OK
fischer2023rejectcurves,F2-cardinalidad-selectiva,arxiv,2308.08381,Precision and Recall Reject Curves for Classification,"Curvas de precisión y exhaustividad frente a la tasa de rechazo, en lugar de solo exactitud.",Expone que la exactitud bajo rechazo oculta el comportamiento en las clases minoritarias.,Datos tabulares de referencia; sin aplicación a teledetección ni a conjuntos de etiquetas jerárquicos.,La curva se traza sobre rechazo por muestra; no existe la versión por clase retirada.,2026-09-02T20:32:17+00:00,arxiv,Precision and Recall Reject Curves for Classification,Lydia Fischer; Patricia Wollstadt,2023,,arXiv,OK
hasan2023uncertaintysurvey,F2-cardinalidad-selectiva,arxiv,2304.04906,Survey on Leveraging Uncertainty Estimation Towards Trustworthy Deep Neural Networks: The Case of Reject Option and Post-training Processing,Revisión de estimación de incertidumbre y de opción de rechazo posterior al entrenamiento.,Mapa completo del estado del arte del rechazo y de las técnicas que no exigen reentrenar.,Revisión generalista; los ejemplos de teledetección son marginales y no tratan cultivos por parcela.,Confirma que el rechazo por muestra es el estándar y que la cardinalidad de etiquetas no se estudia como palanca.,2026-09-02T20:32:19+00:00,arxiv,Survey on Leveraging Uncertainty Estimation Towards Trustworthy Deep Neural Networks: The Case of Reject Option and Post-training Processing,Mehedi Hasan; Moloud Abdar; Abbas Khosravi; Uwe Aickelin; Pietro Lio'; Ibrahim Hossain; Ashikur Rahman; Saeid Nahavandi,2023,,arXiv,OK
hendrickx2024rejectsurvey,F2-cardinalidad-selectiva,doi,10.1007/s10994-024-06534-x,Machine learning with a reject option: a survey,"Revisión unificada del rechazo por ambigüedad y por novedad, con taxonomía de métodos y métricas.","Referencia canónica y actual del área; define con precisión cobertura, riesgo y sus curvas.",Todos los mecanismos revisados operan muestra a muestra; ninguno reduce el conjunto de etiquetas prometidas.,Deja explícito el hueco: recortar el espacio de clases no figura en la taxonomía de mecanismos de rechazo.,2026-09-02T20:32:20+00:00,crossref,Machine learning with a reject option: a survey,Kilian Hendrickx; Lorenzo Perini; Dries Van der Plas; Wannes Meert; Jesse Davis,2024,10.1007/s10994-024-06534-x,Machine Learning,OK
jones2020selectivedisparities,F2-cardinalidad-selectiva,arxiv,2010.14134,Selective Classification Can Magnify Disparities Across Groups,Análisis de cómo el rechazo por confianza degrada a los subgrupos peor representados.,Resultado negativo sólido: recortar cobertura por confianza puede empeorar al grupo débil en vez de protegerlo.,"Los subgrupos son demográficos, no clases minoritarias de un mapa de cultivos.","Sugiere, sin medirlo en este dominio, que el rechazo por confianza sacrificaría justo las clases raras.",2026-09-02T20:32:22+00:00,arxiv,Selective Classification Can Magnify Disparities Across Groups,Erik Jones; Shiori Sagawa; Pang Wei Koh; Ananya Kumar; Percy Liang,2020,,arXiv,OK
turkoglu2021hierarchies,F2-cardinalidad-selectiva,arxiv,2102.08820,Crop mapping from image time series: deep learning with multi-scale label hierarchies,convSTAR multiescala que predice tres niveles de una jerarquía de cultivos y retrocede al nivel grueso cuando la confianza no alcanza un umbral.,Es el trabajo previo más cercano: publica curvas de cobertura frente a confianza y demuestra que retroceder a etiqueta gruesa sube la cobertura sin perder exactitud.,"El mecanismo es retroceso jerárquico por píxel, la métrica es exactitud global sobre el área cubierta y la evaluación usa un solo fold sin intervalos.","Nadie contrasta ese retroceso jerárquico contra retirar clases enteras de un conjunto plano a igual cobertura, ni lo mide en F1-macro con intervalos pareados.",2026-09-02T20:32:23+00:00,crossref,Crop mapping from image time series: Deep learning with multi-scale label hierarchies,Mehmet Ozgur Turkoglu; Stefano D'Aronco; Gregor Perich; Frank Liebisch; Constantin Streit; Konrad Schindler; Jan Dirk Wegner,2021,10.1016/j.rse.2021.112603,Remote Sensing of Environment,OK
li2021costeffective,F2-cardinalidad-selectiva,arxiv,2107.12016,Cost-effective Land Cover Classification for Remote Sensing Images,Clasificación de cobertura del suelo con presupuesto acotado de etiquetado y de cómputo.,Trata el coste operativo como restricción de diseño y no como nota al pie.,"El presupuesto es de etiquetas y de cómputo, no del conjunto de clases que se entrega al usuario.",No convierte el número de clases en un punto de operación medible frente a la cobertura.,2026-09-02T20:32:25+00:00,arxiv,Cost-effective Land Cover Classification for Remote Sensing Images,Dongwei Li; Shuliang Wang; Qiang He; Yun Yang,2021,,arXiv,OK
schneider2021eurocrops,F2-cardinalidad-selectiva,doi,,EuroCrops: A Pan-European Dataset for Time Series Crop Type Classification,Armonización de registros parcelarios europeos mediante la taxonomía jerárquica HCAT.,Hace explícito que el conjunto de clases es una decisión de armonización y no un dato natural.,Aporta la jerarquía pero no mide el coste en calidad de operar en cada uno de sus niveles.,La jerarquía existe; falta la curva que diga qué se gana y qué se pierde al subir o bajar de nivel.,2026-09-02T20:32:27+00:00,openalex,EuroCrops: A Pan-European Dataset for Time Series Crop Type Classification,Maja Schneider; Amelie Broszeit; Marco Körner,2021,10.14459/2021mp1615987,elib (German Aerospace Center),OK
claverie2026eurocropsv2,F2-cardinalidad-selectiva,doi,10.5194/essd-18-4075-2026,"EuroCrops v2.0: multi-annual harmonized parcel level crop type data linked to European Union-wide survey, statistical, and Earth Observation products",Conjunto parcelario europeo multianual armonizado y enlazado a productos estadísticos y de observación de la Tierra.,"Convierte el conjunto de clases en un objeto explícito, versionado y trazable a la declaración administrativa.","Aporta taxonomía y dato, no el análisis de qué nivel conviene entregar en producción.",La jerarquía está disponible; el punto de operación sobre ella sigue sin medirse.,2026-09-02T20:32:29+00:00,crossref,"EuroCrops v2.0: multi-annual harmonized parcel level crop type data linked to European Union-wide survey, statistical, and Earth Observation products",Martin Claverie; Ayshah Chan; Linda See; Helena Ramos; Renate Koeble; Momchil Yordanov; Jon Olav Skøien; Ferdinando Urbano; Raphael d'Andrimont; Maja Schneider; Marco Körner; Marijn Van der Velde,2026,10.5194/essd-18-4075-2026,Earth System Science Data,OK
russwurm2023earlyclassification,F2-cardinalidad-selectiva,doi,10.1016/j.isprsjprs.2022.12.016,End-to-end learned early classification of time series for in-season crop type mapping,Clasificación temprana aprendida que decide cuándo dejar de observar la serie.,Precedente claro de un punto de operación explícito en mapeo de cultivos: precocidad frente a exactitud.,"El eje del compromiso es el tiempo de observación, no el número de clases prometidas.",Legitima la figura del compromiso operativo y deja libre el eje de la cardinalidad de clases.,2026-09-02T20:32:30+00:00,crossref,End-to-end learned early classification of time series for in-season crop type mapping,Marc Rußwurm; Nicolas Courty; Rémi Emonet; Sébastien Lefèvre; Devis Tuia; Romain Tavenard,2023,10.1016/j.isprsjprs.2022.12.016,ISPRS Journal of Photogrammetry and Remote Sensing,OK
lei2025finecrop,F2-cardinalidad-selectiva,doi,,FineCrop: Mapping fine-grained crops using class-aware feature decoupling and parcel-aware class rebalancing with Sentinel-2 time series,Desacoplamiento de rasgos por clase y reequilibrio consciente de la parcela para cultivos de grano fino.,Ataca de frente el desbalance en cultivos finos y reporta el desempeño por clase.,Resuelve el desbalance dentro del modelo; el conjunto de clases permanece fijo y completo.,Mejora las clases raras pero no plantea que a veces la decisión correcta sea no prometerlas.,2026-09-02T20:32:32+00:00,crossref,FineCrop: Mapping fine-grained crops using class-aware feature decoupling and parcel-aware class rebalancing with Sentinel-2 time series,Lei Lei; Xinyu Wang; Yanfei Zhong; Liangpei Zhang,2025,10.1016/j.isprsjprs.2025.07.041,ISPRS Journal of Photogrammetry and Remote Sensing,OK
donmez2025cropcover,F2-cardinalidad-selectiva,doi,10.1080/01431161.2025.2565837,Satellite remote sensing-based crop cover classification over Europe: accuracy of different methodological approaches,Comparación metodológica de clasificación de cobertura de cultivos en Europa con distintos niveles de agregación.,Documenta que las clases agrupadas alcanzan mayor exactitud y que el nivel de agregación invalida comparaciones ingenuas.,"Lo trata como advertencia metodológica para comparar estudios, no como un punto de operación que se elige y se mide.",Reconoce el efecto de la agregación sin convertirlo en una frontera calidad-cobertura con intervalos.,2026-09-02T20:32:34+00:00,crossref,Satellite remote sensing-based crop cover classification over Europe: accuracy of different methodological approaches,Elif Donmez; Thomas Heckelei; Hugo Storm,2025,10.1080/01431161.2025.2565837,International Journal of Remote Sensing,OK
brown2025alphaearth,F3-contexto-espacial-fm,arxiv,2507.22291,AlphaEarth Foundations: An embedding field model for accurate and efficient global mapping from sparse label data,Modelo de campo de embeddings que fusiona múltiples sensores en 64 dimensiones anuales de alcance global.,"Embeddings listos para analizar, gratuitos en Earth Engine, que superan featurizaciones operativas en quince tareas de observación de la Tierra.",La evaluación interna es sobre todo de cobertura y uso del suelo; el embedding es anual y comprime el eje temporal.,No responde cuánto contexto espacial queda por explotar sobre el embedding en tareas de cultivo por parcela.,2026-09-02T20:32:35+00:00,arxiv,AlphaEarth Foundations: An embedding field model for accurate and efficient global mapping from sparse label data,Christopher F. Brown; Michal R. Kazmierski; Valerie J. Pasquarella; William J. Rucklidge; Masha Samsikova; Chenhui Zhang; Evan Shelhamer; Estefania Lahera; Olivia Wiles; Simon Ilyushchenko; Noel Gorelick; Lihui Lydia Zhang; Sophia Alj; Emily Schechter; Sean Askay; Oliver Guinan; Rebecca Moore; Alexis Boukouvalas; Pushmeet Kohli,2025,,arXiv,OK
ma2026harvesting,F3-contexto-espacial-fm,arxiv,2601.00857,Harvesting AlphaEarth: Benchmarking the Geospatial Foundation Model for Agricultural Downstream Tasks,"Evaluación de AlphaEarth en rendimiento de cultivo, laboreo y cultivos de cobertura en Estados Unidos, con esquemas de transferencia espacial, de escala y anual.","Primer banco sistemático de un modelo de fundación de observación de la Tierra en tareas agrícolas, con modelos de teledetección entrenados como comparador.",Tres tareas en un solo país; la transferencia espacial falla en rendimiento pero es competitiva en laboreo y en cultivos de cobertura.,"No evalúa clasificación de tipo de cultivo por parcela ni ensambles, y enuncia la limitación temporal sin cuantificarla en términos fenológicos.",2026-09-02T20:32:37+00:00,arxiv,Harvesting AlphaEarth: Benchmarking the Geospatial Foundation Model for Agricultural Downstream Tasks,Yuchi Ma; Yawen Shen; Anu Swatantran; David B. Lobell,2025,10.1016/j.jag.2026.105258,arXiv,OK
corley2026pooling,F3-contexto-espacial-fm,arxiv,2603.02080,From Pixels to Patches: Pooling Strategies for Earth Embeddings,"Comparación de once métodos de agrupamiento sin entrenamiento sobre embeddings de AlphaEarth, OlmoEarth y Tessera en EuroSAT-Embed.",Mide directamente cuánto contexto espacial dentro del parche se pierde con el promedio y cuánto se recupera con agrupamientos estadísticos y de covarianza.,La agregación es dentro del parche y la tarea es clasificación de escenas; no hay vecindad entre parcelas ni ensamble de modelos.,"Es el trabajo más cercano en el eje espacial y obliga a separar el contexto intraparcela, que sí aporta, del contexto entre parcelas, que es donde cae nuestro nulo.",2026-09-02T20:32:38+00:00,arxiv,From Pixels to Patches: Pooling Strategies for Earth Embeddings,Isaac Corley; Caleb Robinson; Inbal Becker-Reshef; Juan M. Lavista Ferres,2026,,arXiv,OK
gilch2026embeddesign,F3-contexto-espacial-fm,arxiv,2603.10658,How to Embed Matters: Evaluation of EO Embedding Design Choices,"Análisis sistemático de troncal, preentrenamiento, profundidad, agregación espacial y combinación de representaciones con NeuCo-Bench.",Aísla la agregación espacial como decisión de diseño con impacto medible en tareas de observación de la Tierra.,Tareas de banco genérico; sin series temporales de cultivo por parcela ni métrica macro con clases raras.,"Confirma que la agregación importa, pero no en el escenario donde ya hay miembros temporales que consumen el eje del tiempo.",2026-09-02T20:32:40+00:00,arxiv,How to Embed Matters: Evaluation of EO Embedding Design Choices,Luis Gilch; Isabelle Wittmann; Maximilian Nitsche; Johannes Jakubik; Arne Ewald; Thomas Brunschwiler,2026,,arXiv,OK
benavides2026whatonearth,F3-contexto-espacial-fm,arxiv,2603.16911,What on Earth is AlphaEarth? Hierarchical structure and functional interpretability for global land cover,Ingeniería inversa del papel de cada dimensión del embedding por importancia de rasgos y ablación progresiva sobre cobertura del suelo.,Muestra una organización funcional jerárquica con dimensiones especialistas y generalistas.,"El objeto es cobertura del suelo global, no cultivos por parcela; es interpretabilidad, no rendimiento de ensambles.","Da el lenguaje para explicar por qué el embedding ya trae contexto, sin medirlo en la tarea de cultivo.",2026-09-02T20:32:41+00:00,arxiv,What on Earth is AlphaEarth? Hierarchical structure and functional interpretability for global land cover,Ivan Felipe Benavides-Martinez; Justin Guthrie; Jhon Edwin Arias; Yeison Alberto Garces-Gomez; Angela Ines Guzman-Alvis; Cristiam Victoriano Portilla-Cabrera; Somnath Mondal; Andrew J. Allyn; Auroop R. Ganguly,2026,,arXiv,OK
lisaius2026senegal,F3-contexto-espacial-fm,arxiv,2601.16900,Embedding -based Crop Type Classification in the Groundnut Basin of Senegal,Comparación de TESSERA y AlphaEarth contra líneas base para tipo de cultivo en agricultura de pequeños productores.,"Criterios explícitos de utilidad: desempeño, plausibilidad, transferibilidad y accesibilidad.","Una sola región, pocas clases, sin ensamble heterogéneo ni análisis de cobertura frente a número de clases.","Compara embeddings entre sí, no mecanismos de combinación sobre un mismo embedding.",2026-09-02T20:32:43+00:00,arxiv,Embedding -based Crop Type Classification in the Groundnut Basin of Senegal,Madeline C. Lisaius; Srinivasan Keshav; Andrew Blake; Clement Atzberger,2026,,arXiv,OK
adjei2026crosscountry,F3-contexto-espacial-fm,arxiv,2605.08113,Do Foundation Model Embeddings Improve Cross-Country Crop Yield Generalisation? A Leave-One-Country-Out Evaluation in Sub-Saharan Africa,Validación dejando un país fuera con embeddings Prithvi-EO frente a rasgos espectrales de Sentinel-2.,Publica un banco negativo reproducible: los embeddings congelados no ganan fuera del país de entrenamiento.,"Es regresión de rendimiento, no clasificación, y el modelo de fundación es Prithvi, no AlphaEarth.",Refuerza que los resultados negativos con embeddings de fundación son publicables y necesarios.,2026-09-02T20:32:44+00:00,arxiv,Do Foundation Model Embeddings Improve Cross-Country Crop Yield Generalisation? A Leave-One-Country-Out Evaluation in Sub-Saharan Africa,Yaw Osei Adjei,2026,,arXiv,OK
lehmann2026calibration,F3-contexto-espacial-fm,arxiv,2608.16614,Beyond Accuracy: Assessing Calibration of Geospatial Foundation Models and Their Sensitivity to Distribution Shifts,Evaluación de la calibración de dieciséis codificadores congelados bajo corrupciones y desplazamiento de distribución.,Demuestra que el orden por exactitud cambia al mirar calibración y que estos modelos se vuelven sobreconfiados bajo desplazamiento.,Clasificación y segmentación de banco; no aborda abstención ni conjunto de etiquetas operativo.,La calibración es requisito de cualquier curva calidad-cobertura y nadie la ha cruzado con la elección de clases en cultivos.,2026-09-02T20:32:46+00:00,arxiv,Beyond Accuracy: Assessing Calibration of Geospatial Foundation Models and Their Sensitivity to Distribution Shifts,Nils Lehmann; Jakob Gawlikowski; Burak Ekim; Isaac Corley; Xiao Xiang Zhu,2026,,arXiv,OK
roberts2017crossvalidation,F3-contexto-espacial-fm,doi,10.1111/ecog.02881,"Cross-validation strategies for data with temporal, spatial, hierarchical, or phylogenetic structure",Estrategias de validación cruzada por bloques para datos con dependencia espacial y temporal.,Referencia estándar de por qué la validación aleatoria infla el desempeño cuando hay autocorrelación espacial.,El dominio es ecología; no cubre ensambles ni modelos de fundación.,"Justifica el protocolo de folds disjuntos, pero no dice cuánto contexto espacial queda utilizable tras respetarlo.",2026-09-02T20:32:47+00:00,crossref,"Cross‐validation strategies for data with temporal, spatial, hierarchical, or phylogenetic structure",David R. Roberts; Volker Bahn; Simone Ciuti; Mark S. Boyce; Jane Elith; Gurutzeta Guillera‐Arroita; Severin Hauenstein; José J. Lahoz‐Monfort; Boris Schröder; Wilfried Thuiller; David I. Warton; Brendan A. Wintle; Florian Hartig; Carsten F. Dormann,2017,10.1111/ecog.02881,Ecography,OK
ploton2020spatialvalidation,F3-contexto-espacial-fm,doi,10.1038/s41467-020-18321-y,Spatial validation reveals poor predictive performance of large-scale ecological mapping models,Comparación de validación aleatoria frente a validación espacial en modelos de mapeo a gran escala.,Cuantifica el sesgo optimista de la validación aleatoria en mapeo ecológico.,"No hay cultivos ni embeddings de fundación; el foco es el sesgo de evaluación, no la ganancia por contexto.",Delimita cómo debe medirse un aporte espacial para que resulte creíble.,2026-09-02T20:32:49+00:00,crossref,Spatial validation reveals poor predictive performance of large-scale ecological mapping models,Pierre Ploton; Frédéric Mortier; Maxime Réjou-Méchain; Nicolas Barbier; Nicolas Picard; Vivien Rossi; Carsten Dormann; Guillaume Cornu; Gaëlle Viennois; Nicolas Bayol; Alexei Lyapustin; Sylvie Gourlet-Fleury; Raphaël Pélissier,2020,10.1038/s41467-020-18321-y,Nature Communications,OK
shah2026cleaning,F3-contexto-espacial-fm,arxiv,2607.23908,Embeddings based Anomaly Detection for Cleaning Global Crop Type Reference Datasets,Detección de anomalías sobre embeddings de un codificador de observación de la Tierra para limpiar etiquetas de referencia de cultivos.,Usa la vecindad local en el espacio de embeddings de forma operativa y honesta sobre el ruido de etiqueta.,"El objetivo es limpiar etiquetas, no clasificar; no mide ganancia de contexto en la predicción final.","Muestra un uso de vecindad que sí aporta, lo que obliga a acotar nuestro nulo al refinamiento de posteriores entre parcelas.",2026-09-02T20:32:51+00:00,arxiv,Embeddings based Anomaly Detection for Cleaning Global Crop Type Reference Datasets,Syed Roshaan Ali Shah; Kristof Van Tricht; Christina Butsko; Jeroen Degerickx; Zoltan Szantoi,2026,,arXiv,OK
chang2025generalizability,F3-contexto-espacial-fm,arxiv,2409.09451,On the Generalizability of Foundation Models for Crop Type Mapping,Evaluación de modelos de fundación de observación de la Tierra en transferencia entre regiones para mapeo de tipo de cultivo.,Aborda de frente la generalización en la tarea exacta de este trabajo y no en cobertura del suelo.,Se centra en la transferencia entre regiones; no evalúa mecanismos de combinación ni contexto espacial añadido.,"Confirma que la pregunta abierta es qué hacer sobre el embedding, no si el embedding sirve.",2026-09-02T20:32:52+00:00,arxiv,On the Generalizability of Foundation Models for Crop Type Mapping,Yi-Chia Chang; Adam J. Stewart; Favyen Bastani; Piper Wolters; Shreya Kannan; George R. Huber; Jingtong Wang; Arindam Banerjee,2024,,arXiv,OK
huang2025bemyeyes,F4-copiloto-llm-eo,arxiv,2511.19417,Be My Eyes: Extending Large Language Models to New Modalities Through Multi-Agent Collaboration,"Marco multiagente en el que un modelo de visión y lenguaje perceptor, afinado con datos sintéticos, conversa con un modelo de lenguaje razonador congelado.",El razonador no se toca y aun así gana en tareas multimodales intensivas en conocimiento; el perceptor es intercambiable.,"Solo visión genérica, matemáticas y medicina; ninguna evaluación en teledetección, agricultura ni geoespacial, y ninguna mención de alucinación.",El patrón está probado fuera de la observación de la Tierra; su traslado a percepción geoespacial con herramientas deterministas no lo ha evaluado nadie.,2026-09-02T20:32:54+00:00,arxiv,Be My Eyes: Extending Large Language Models to New Modalities Through Multi-Agent Collaboration,James Y. Huang; Sheng Zhang; Qianchu Liu; Guanghui Qin; Tinghui Zhu; Tristan Naumann; Muhao Chen; Hoifung Poon,2025,,arXiv,OK
