key,front,id_type,id,title_claimed,method,strength,limit,gap
hasan2023uncertaintysurvey,F2-cardinalidad-selectiva,arxiv,2304.04906,Survey on Leveraging Uncertainty Estimation Towards Trustworthy Deep Neural Networks: The Case of Reject Option and Post-training Processing,Revisión de estimación de incertidumbre y de opción de rechazo posterior al entrenamiento.,Mapa completo del estado del arte del rechazo y de las técnicas que no exigen reentrenar.,Revisión generalista; los ejemplos de teledetección son marginales y no tratan cultivos por parcela.,Confirma que el rechazo por muestra es el estándar y que la cardinalidad de etiquetas no se estudia como palanca.
hendrickx2024rejectsurvey,F2-cardinalidad-selectiva,doi,10.1007/s10994-024-06534-x,Machine learning with a reject option: a survey,"Revisión unificada del rechazo por ambigüedad y por novedad, con taxonomía de métodos y métricas.","Referencia canónica y actual del área; define con precisión cobertura, riesgo y sus curvas.",Todos los mecanismos revisados operan muestra a muestra; ninguno reduce el conjunto de etiquetas prometidas.,Deja explícito el hueco: recortar el espacio de clases no figura en la taxonomía de mecanismos de rechazo.
jones2020selectivedisparities,F2-cardinalidad-selectiva,arxiv,2010.14134,Selective Classification Can Magnify Disparities Across Groups,Análisis de cómo el rechazo por confianza degrada a los subgrupos peor representados.,Resultado negativo sólido: recortar cobertura por confianza puede empeorar al grupo débil en vez de protegerlo.,"Los subgrupos son demográficos, no clases minoritarias de un mapa de cultivos.","Sugiere, sin medirlo en este dominio, que el rechazo por confianza sacrificaría justo las clases raras."
turkoglu2021hierarchies,F2-cardinalidad-selectiva,arxiv,2102.08820,Crop mapping from image time series: deep learning with multi-scale label hierarchies,convSTAR multiescala que predice tres niveles de una jerarquía de cultivos y retrocede al nivel grueso cuando la confianza no alcanza un umbral.,Es el trabajo previo más cercano: publica curvas de cobertura frente a confianza y demuestra que retroceder a etiqueta gruesa sube la cobertura sin perder exactitud.,"El mecanismo es retroceso jerárquico por píxel, la métrica es exactitud global sobre el área cubierta y la evaluación usa un solo fold sin intervalos.","Nadie contrasta ese retroceso jerárquico contra retirar clases enteras de un conjunto plano a igual cobertura, ni lo mide en F1-macro con intervalos pareados."
li2021costeffective,F2-cardinalidad-selectiva,arxiv,2107.12016,Cost-effective Land Cover Classification for Remote Sensing Images,Clasificación de cobertura del suelo con presupuesto acotado de etiquetado y de cómputo.,Trata el coste operativo como restricción de diseño y no como nota al pie.,"El presupuesto es de etiquetas y de cómputo, no del conjunto de clases que se entrega al usuario.",No convierte el número de clases en un punto de operación medible frente a la cobertura.
schneider2021eurocrops,F2-cardinalidad-selectiva,doi,,EuroCrops: A Pan-European Dataset for Time Series Crop Type Classification,Armonización de registros parcelarios europeos mediante la taxonomía jerárquica HCAT.,Hace explícito que el conjunto de clases es una decisión de armonización y no un dato natural.,Aporta la jerarquía pero no mide el coste en calidad de operar en cada uno de sus niveles.,La jerarquía existe; falta la curva que diga qué se gana y qué se pierde al subir o bajar de nivel.
claverie2026eurocropsv2,F2-cardinalidad-selectiva,doi,10.5194/essd-18-4075-2026,"EuroCrops v2.0: multi-annual harmonized parcel level crop type data linked to European Union-wide survey, statistical, and Earth Observation products",Conjunto parcelario europeo multianual armonizado y enlazado a productos estadísticos y de observación de la Tierra.,"Convierte el conjunto de clases en un objeto explícito, versionado y trazable a la declaración administrativa.","Aporta taxonomía y dato, no el análisis de qué nivel conviene entregar en producción.",La jerarquía está disponible; el punto de operación sobre ella sigue sin medirse.
russwurm2023earlyclassification,F2-cardinalidad-selectiva,doi,10.1016/j.isprsjprs.2022.12.016,End-to-end learned early classification of time series for in-season crop type mapping,Clasificación temprana aprendida que decide cuándo dejar de observar la serie.,Precedente claro de un punto de operación explícito en mapeo de cultivos: precocidad frente a exactitud.,"El eje del compromiso es el tiempo de observación, no el número de clases prometidas.",Legitima la figura del compromiso operativo y deja libre el eje de la cardinalidad de clases.
lei2025finecrop,F2-cardinalidad-selectiva,doi,,FineCrop: Mapping fine-grained crops using class-aware feature decoupling and parcel-aware class rebalancing with Sentinel-2 time series,Desacoplamiento de rasgos por clase y reequilibrio consciente de la parcela para cultivos de grano fino.,Ataca de frente el desbalance en cultivos finos y reporta el desempeño por clase.,Resuelve el desbalance dentro del modelo; el conjunto de clases permanece fijo y completo.,Mejora las clases raras pero no plantea que a veces la decisión correcta sea no prometerlas.
donmez2025cropcover,F2-cardinalidad-selectiva,doi,10.1080/01431161.2025.2565837,Satellite remote sensing-based crop cover classification over Europe: accuracy of different methodological approaches,Comparación metodológica de clasificación de cobertura de cultivos en Europa con distintos niveles de agregación.,Documenta que las clases agrupadas alcanzan mayor exactitud y que el nivel de agregación invalida comparaciones ingenuas.,"Lo trata como advertencia metodológica para comparar estudios, no como un punto de operación que se elige y se mide.",Reconoce el efecto de la agregación sin convertirlo en una frontera calidad-cobertura con intervalos.
brown2025alphaearth,F3-contexto-espacial-fm,arxiv,2507.22291,AlphaEarth Foundations: An embedding field model for accurate and efficient global mapping from sparse label data,Modelo de campo de embeddings que fusiona múltiples sensores en 64 dimensiones anuales de alcance global.,"Embeddings listos para analizar, gratuitos en Earth Engine, que superan featurizaciones operativas en quince tareas de observación de la Tierra.",La evaluación interna es sobre todo de cobertura y uso del suelo; el embedding es anual y comprime el eje temporal.,No responde cuánto contexto espacial queda por explotar sobre el embedding en tareas de cultivo por parcela.
ma2026harvesting,F3-contexto-espacial-fm,arxiv,2601.00857,Harvesting AlphaEarth: Benchmarking the Geospatial Foundation Model for Agricultural Downstream Tasks,"Evaluación de AlphaEarth en rendimiento de cultivo, laboreo y cultivos de cobertura en Estados Unidos, con esquemas de transferencia espacial, de escala y anual.","Primer banco sistemático de un modelo de fundación de observación de la Tierra en tareas agrícolas, con modelos de teledetección entrenados como comparador.",Tres tareas en un solo país; la transferencia espacial falla en rendimiento pero es competitiva en laboreo y en cultivos de cobertura.,"No evalúa clasificación de tipo de cultivo por parcela ni ensambles, y enuncia la limitación temporal sin cuantificarla en términos fenológicos."
corley2026pooling,F3-contexto-espacial-fm,arxiv,2603.02080,From Pixels to Patches: Pooling Strategies for Earth Embeddings,"Comparación de once métodos de agrupamiento sin entrenamiento sobre embeddings de AlphaEarth, OlmoEarth y Tessera en EuroSAT-Embed.",Mide directamente cuánto contexto espacial dentro del parche se pierde con el promedio y cuánto se recupera con agrupamientos estadísticos y de covarianza.,La agregación es dentro del parche y la tarea es clasificación de escenas; no hay vecindad entre parcelas ni ensamble de modelos.,"Es el trabajo más cercano en el eje espacial y obliga a separar el contexto intraparcela, que sí aporta, del contexto entre parcelas, que es donde cae nuestro nulo."
gilch2026embeddesign,F3-contexto-espacial-fm,arxiv,2603.10658,How to Embed Matters: Evaluation of EO Embedding Design Choices,"Análisis sistemático de troncal, preentrenamiento, profundidad, agregación espacial y combinación de representaciones con NeuCo-Bench.",Aísla la agregación espacial como decisión de diseño con impacto medible en tareas de observación de la Tierra.,Tareas de banco genérico; sin series temporales de cultivo por parcela ni métrica macro con clases raras.,"Confirma que la agregación importa, pero no en el escenario donde ya hay miembros temporales que consumen el eje del tiempo."
benavides2026whatonearth,F3-contexto-espacial-fm,arxiv,2603.16911,What on Earth is AlphaEarth? Hierarchical structure and functional interpretability for global land cover,Ingeniería inversa del papel de cada dimensión del embedding por importancia de rasgos y ablación progresiva sobre cobertura del suelo.,Muestra una organización funcional jerárquica con dimensiones especialistas y generalistas.,"El objeto es cobertura del suelo global, no cultivos por parcela; es interpretabilidad, no rendimiento de ensambles.","Da el lenguaje para explicar por qué el embedding ya trae contexto, sin medirlo en la tarea de cultivo."
lisaius2026senegal,F3-contexto-espacial-fm,arxiv,2601.16900,Embedding -based Crop Type Classification in the Groundnut Basin of Senegal,Comparación de TESSERA y AlphaEarth contra líneas base para tipo de cultivo en agricultura de pequeños productores.,"Criterios explícitos de utilidad: desempeño, plausibilidad, transferibilidad y accesibilidad.","Una sola región, pocas clases, sin ensamble heterogéneo ni análisis de cobertura frente a número de clases.","Compara embeddings entre sí, no mecanismos de combinación sobre un mismo embedding."
adjei2026crosscountry,F3-contexto-espacial-fm,arxiv,2605.08113,Do Foundation Model Embeddings Improve Cross-Country Crop Yield Generalisation? A Leave-One-Country-Out Evaluation in Sub-Saharan Africa,Validación dejando un país fuera con embeddings Prithvi-EO frente a rasgos espectrales de Sentinel-2.,Publica un banco negativo reproducible: los embeddings congelados no ganan fuera del país de entrenamiento.,"Es regresión de rendimiento, no clasificación, y el modelo de fundación es Prithvi, no AlphaEarth.",Refuerza que los resultados negativos con embeddings de fundación son publicables y necesarios.
lehmann2026calibration,F3-contexto-espacial-fm,arxiv,2608.16614,Beyond Accuracy: Assessing Calibration of Geospatial Foundation Models and Their Sensitivity to Distribution Shifts,Evaluación de la calibración de dieciséis codificadores congelados bajo corrupciones y desplazamiento de distribución.,Demuestra que el orden por exactitud cambia al mirar calibración y que estos modelos se vuelven sobreconfiados bajo desplazamiento.,Clasificación y segmentación de banco; no aborda abstención ni conjunto de etiquetas operativo.,La calibración es requisito de cualquier curva calidad-cobertura y nadie la ha cruzado con la elección de clases en cultivos.
roberts2017crossvalidation,F3-contexto-espacial-fm,doi,10.1111/ecog.02881,"Cross-validation strategies for data with temporal, spatial, hierarchical, or phylogenetic structure",Estrategias de validación cruzada por bloques para datos con dependencia espacial y temporal.,Referencia estándar de por qué la validación aleatoria infla el desempeño cuando hay autocorrelación espacial.,El dominio es ecología; no cubre ensambles ni modelos de fundación.,"Justifica el protocolo de folds disjuntos, pero no dice cuánto contexto espacial queda utilizable tras respetarlo."
ploton2020spatialvalidation,F3-contexto-espacial-fm,doi,10.1038/s41467-020-18321-y,Spatial validation reveals poor predictive performance of large-scale ecological mapping models,Comparación de validación aleatoria frente a validación espacial en modelos de mapeo a gran escala.,Cuantifica el sesgo optimista de la validación aleatoria en mapeo ecológico.,"No hay cultivos ni embeddings de fundación; el foco es el sesgo de evaluación, no la ganancia por contexto.",Delimita cómo debe medirse un aporte espacial para que resulte creíble.
shah2026cleaning,F3-contexto-espacial-fm,arxiv,2607.23908,Embeddings based Anomaly Detection for Cleaning Global Crop Type Reference Datasets,Detección de anomalías sobre embeddings de un codificador de observación de la Tierra para limpiar etiquetas de referencia de cultivos.,Usa la vecindad local en el espacio de embeddings de forma operativa y honesta sobre el ruido de etiqueta.,"El objetivo es limpiar etiquetas, no clasificar; no mide ganancia de contexto en la predicción final.","Muestra un uso de vecindad que sí aporta, lo que obliga a acotar nuestro nulo al refinamiento de posteriores entre parcelas."
chang2025generalizability,F3-contexto-espacial-fm,arxiv,2409.09451,On the Generalizability of Foundation Models for Crop Type Mapping,Evaluación de modelos de fundación de observación de la Tierra en transferencia entre regiones para mapeo de tipo de cultivo.,Aborda de frente la generalización en la tarea exacta de este trabajo y no en cobertura del suelo.,Se centra en la transferencia entre regiones; no evalúa mecanismos de combinación ni contexto espacial añadido.,"Confirma que la pregunta abierta es qué hacer sobre el embedding, no si el embedding sirve."
huang2025bemyeyes,F4-copiloto-llm-eo,arxiv,2511.19417,Be My Eyes: Extending Large Language Models to New Modalities Through Multi-Agent Collaboration,"Marco multiagente en el que un modelo de visión y lenguaje perceptor, afinado con datos sintéticos, conversa con un modelo de lenguaje razonador congelado.",El razonador no se toca y aun así gana en tareas multimodales intensivas en conocimiento; el perceptor es intercambiable.,"Solo visión genérica, matemáticas y medicina; ninguna evaluación en teledetección, agricultura ni geoespacial, y ninguna mención de alucinación.",El patrón está probado fuera de la observación de la Tierra; su traslado a percepción geoespacial con herramientas deterministas no lo ha evaluado nadie.
li2025agromind,F4-copiloto-llm-eo,arxiv,2505.12207,Can Large Multimodal Models Understand Agricultural Scenes? Benchmarking with AgroMind,Banco de evaluación de modelos multimodales en teledetección agrícola con cuatro dimensiones y trece tipos de tarea.,"Cobertura amplia de escenas y tareas, con evidencia de que estos modelos fallan en percepción espacial fina.","Solo evaluación, solo en inglés y sin partición de entrenamiento; la clasificación de tipo de cultivo por parcela no es su tarea central.","No evalúa un copiloto anclado a un clasificador especialista: mide el modelo multimodal solo, no la arquitectura perceptor-razonador."
zhang2025geoanalystbench,F4-copiloto-llm-eo,arxiv,2509.05881,GeoAnalystBench: A GeoAI benchmark for assessing large language models for spatial analysis workflow and code generation,Banco de flujos de análisis espacial y generación de código para modelos de lenguaje.,Tareas realistas de sistemas de información geográfica con evaluación de flujo completo y de código ejecutable.,Análisis espacial genérico; no hay percepción de cultivos ni anclaje a un modelo entrenado propio.,"Evalúa al agente como programador geoespacial, no como comunicador de los resultados de un clasificador especialista."
yu2026geoagentbench,F4-copiloto-llm-eo,arxiv,2604.13888,GeoAgentBench: A Dynamic Execution Benchmark for Tool-Augmented Agents in Spatial Analysis,Banco de ejecución dinámica para agentes con herramientas en análisis espacial.,"Ejecuta herramientas de verdad en lugar de comparar texto, y mide si se elige la herramienta correcta.","Herramientas geoespaciales de propósito general, sin herramientas de percepción agrícola ni métricas agronómicas.",Ningún banco evalúa un agente cuyas herramientas son modelos de cultivo entrenados y auditables.
lewis2020rag,F4-copiloto-llm-eo,arxiv,2005.11401,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,Generación condicionada a documentos recuperados de un índice denso.,Patrón canónico de anclaje que reduce las respuestas sin soporte en tareas intensivas en conocimiento.,Texto puro; la recuperación no tiene filtro espacial ni noción de vecindad geográfica.,El híbrido de filtro espacial más similitud vectorial sobre embeddings de observación de la Tierra no está evaluado en esta literatura.
yao2022react,F4-copiloto-llm-eo,arxiv,2210.03629,ReAct: Synergizing Reasoning and Acting in Language Models,Intercalado de razonamiento explícito y llamadas a herramientas.,Base del patrón de planificar y actuar que usan hoy los agentes con herramientas.,"Dominios de texto y navegación, sin herramientas numéricas deterministas de teledetección.",No cubre el caso en que la herramienta es un clasificador cuya salida no debe ser reinterpretada por el modelo.
boudiaf2026cropvlm,F4-copiloto-llm-eo,arxiv,2605.03259,CropVLM: A Domain-Adapted Vision-Language Model for Open-Set Crop Analysis,Modelo de visión y lenguaje adaptado al dominio para análisis de cultivos de conjunto abierto.,"Adaptación de dominio explícita para agricultura, con vocabulario abierto.",El propio modelo clasifica: no separa percepción de razonamiento ni ancla las cifras en herramientas deterministas.,Es la ruta contraria a nuestro patrón y nadie ha comparado ambas bajo el mismo protocolo agronómico.
russwurm2020breizhcrops,F2-cardinalidad-selectiva,doi,10.5194/isprs-archives-XLIII-B2-2020-1545-2020,BreizhCrops: A Time Series Dataset for Crop Type Mapping,"Banco publico de series Sentinel-2 por parcela en Bretaña, con nueve clases agronomicas y particion por region administrativa.","Particion espacial nativa por region, mas de 600 000 parcelas y una linea base publicada para varias arquitecturas temporales.","El reparto de clases es extremadamente desbalanceado (hasta 19 207 a 1) y el banco no publica coordenadas por parcela en su indice, lo que impide teselaciones espaciales mas finas que la region.","No estudia como el recorte del catalogo de clases afecta a la metrica macro que sus propias lineas base reportan."
